rmag,rabsmag,redshift,rad,sern,pos,ba,baslot,x_mu,x_sigma,z_mu,z_sigma
18.6354,-18.1794,0.0518138,2.34426,0.9034,27.4332,0.4059,40.0,0.31576,0.07174000000000001,0.9139999999999999,0.05929999999999999
19.2126,-20.2322,0.161697,1.83526,1.8079,40.8454,0.7122,71.0,0.38534,0.17072,0.924,0.28666
19.3394,-20.8522,0.220298,2.16112,1.2832,81.9835,0.7357,73.0,0.42160000000000003,0.41180000000000005,0.9219999999999999,0.27680000000000005
18.8385,-21.4651,0.23085100000000003,3.59009,4.074,-57.2421,0.8883,88.0,0.48628,0.28831999999999997,0.9016000000000001,0.07322
19.5879,-20.7157,0.23038000000000003,4.13489,3.0769,-10.1768,0.7188,71.0,0.09330000000000001,0.2893,0.924,0.08249999999999999
19.7549,-17.9798,0.0777154,4.26126,2.5286,20.8175,0.4768,47.0,0.16876,0.260488,0.8188000000000001,0.10512
19.589,-21.1493,0.274994,5.70426,2.4494,-73.119,0.3281,32.0,0.145828,0.036460000000000006,0.884,0.043059999999999994
19.1363,-21.6023,0.275034,3.13469,0.6298,80.6579,0.7078,70.0,0.416308,0.17856,0.982,0.10976
18.9332,-19.7152,0.1154,3.9016599999999997,0.7183,-80.1812,0.7092,70.0,0.19090800000000002,0.0345,0.9136000000000001,0.09641999999999999
19.0706,-21.4881,0.25579,3.5962099999999997,1.3814,-87.2359,0.7114,71.0,0.157,0.402,0.992,0.2449
19.7327,-20.1994,0.19802,2.5535799999999997,1.3635,80.1759,0.7087,70.0,0.21972,0.11446800000000003,0.9716,0.09816
17.8043,-19.8715,0.07561169999999999,4.89211,1.1694,88.8934,0.3147,31.0,0.21286000000000002,0.069388,0.96,0.16892
18.7199,-18.9559,0.07586210000000002,4.5084,1.9055,79.8527,0.3319,33.0,0.26284,0.09722000000000001,0.8596000000000001,0.043059999999999994
18.3423,-20.1514,0.107991,4.10417,0.6561,57.0063,0.6075,60.0,0.18542,0.0345,0.864,0.032619999999999996
18.2516,-21.6376,0.194536,3.5401599999999998,3.5162,62.5104,0.8179,81.0,0.4853,0.4559,0.924,0.1724
19.113,-19.535,0.11538,1.89306,0.4706,45.2754,0.7642,76.0,0.48138000000000003,0.38534,0.8396000000000001,0.2884
18.5384,-19.6589,0.0951557,4.50055,0.7952,-11.3527,0.5552,55.0,0.17366000000000004,0.0345,0.9828,0.13005999999999998
19.7613,-20.552,0.231531,1.57307,1.3891,-27.2518,0.5174,51.0,0.22951999999999997,0.14622000000000004,0.9716,0.11672
17.2624,-21.0218,0.0986693,4.18749,3.8307,51.4281,0.5774,57.0,0.48726,0.398668,0.924,0.20081999999999997
19.6426,-18.5547,0.0949054,3.61259,1.0623,-45.0898,0.405,40.0,0.3236,0.4314,0.8,0.2855
19.0643,-19.4258,0.10782,3.87275,0.5718,-8.3302,0.1699,16.0,0.15366800000000003,0.016860000000000003,0.8,0.29246
17.468,-21.0199,0.107771,3.08557,2.909,87.2107,0.3738,37.0,0.31184,0.06782,0.9796,0.1318
16.9712,-21.5166,0.108231,4.75552,1.1055,58.9948,0.5066,50.0,0.379068,0.16856400000000002,0.962,0.037259999999999995
18.0918,-21.1485,0.14838900000000002,3.37402,2.8209,50.3678,0.6327,63.0,0.310468,0.14308400000000004,0.982,0.07322
17.9711,-21.4691,0.161385,4.01462,0.9304,-11.9251,0.4223,42.0,0.351628,0.2158,0.9636,0.08829999999999999
19.6759,-20.3918,0.20938299999999999,2.13062,0.93,78.3109,0.4805,48.0,0.356724,0.09878800000000001,0.9368000000000001,0.09061999999999999
18.706,-21.0013,0.180418,2.7692799999999997,1.2832,-13.8539,0.6876,68.0,0.356724,0.137988,0.9156,0.16892
17.5607,-20.7256,0.09875930000000001,4.27884,0.4854,71.0456,0.4589,45.0,0.210508,0.0345,0.8716000000000002,0.032619999999999996
18.6938,-21.2053,0.19533599999999998,3.3180199999999997,0.9084,77.8663,0.4329,43.0,0.34221999999999997,0.18934,0.96,0.037259999999999995
18.7267,-20.0822,0.123589,2.94132,1.7456,3.3707,0.7133,71.0,0.26440800000000003,0.077228,0.9436,0.1318
